['the']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['of']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['to']	"# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != nums[i]
# 8. return i
# 9. return len(nums)
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
#"
['and']	"# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != nums[i]
# 8. return i
# 9. return len(nums)
# 
# 
# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 1
# 7. i != num"
['a']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['in']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="
['is']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["
['it']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['you']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['that']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = nums[0]
# 4. i = 1
# 5. j = nums[1]
# 6. nums[1] = nums[0]
# 7. i = 2
# 8. j = nums[2]
# 9. nums[2] = nums[0]
# 10. i = 3
# 11. j = nums[3]
# 12. nums[3] = nums[0]
# 13. i = 4
# 14. j = nums[4]
# 15. nums[4] = nums[0]
# 16. i = 5
# 17. j = nums[5]
# 18. nums[5] = nums[0]
# 19. i = 6
# 20"
['he']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['was']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["
['for']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["
['on']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="
['are']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["
['with']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. nums[10] = 11
# 14. nums[11] = 12
# 15. nums[12] = 13
# 16. nums[13] = 14
# 17. nums[14] = 15
# 18. nums[15] = 16
# 19. nums[16] = 17
# 20"
['as']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["
['I']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['his']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['they']	"# 1. i = 0
# 2. while i < len(nums):
# 3. j = nums[i]
# 4. if nums[i] < len(nums) and nums[i] != nums[j]:
# 5. nums[i], nums[j] = nums[j], nums[i]
# 6. else:
# 7. i += 1
# 8. for i in range(len(nums)):
# 9. if i != nums[i]:
# 10. return i
# 11. return len(nums)
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
#"
['be']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. nums[10] = 11
# 14. nums[11] = 12
# 15. nums[12] = 13
# 16. nums[13] = 14
# 17. nums[14] = 15
# 18. nums[15] = 16
# 19. nums[16] = 17
# 20"
['at']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="
['one']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="
['have']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] != nums[0] = 0
# 4. nums[0], nums[0] = 0, 0
# 5. i = 1
# 6. j = nums[1] = 1
# 7. nums[1] = 1, nums[1] != nums[1] = 1
# 8. nums[1], nums[1] = 1, 1
# 9. i = 2
# 10. j = nums[2] = 2
# 11. nums[2] = 2, nums[2] != nums[2] = 2
# 12. nums[2], nums[2] = 2, 2
# 13. i = 3
# 14. j = nums[3] ="
['this']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."
['from']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["
